"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"88","Computer systems analysts",4,"Line item","600.5","654.9","54.4",9.1,2.2,"44.9","$88,270 ","Bachelor's degree","None","None","Computer systems analysts","Jobs","Computer systems analysts","Computer & information analysts","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer & information analysts/Computer systems analysts"
"89","Information security analysts",4,"Line item","100","128.5","28.5",28.5,0.4,"10.4","$95,510 ","Bachelor's degree","Less than 5 years","None","Information security analysts","Jobs","Information security analysts","Computer & information analysts","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer & information analysts/Information security analysts"
"90","Software developers & programmers",3,"Summary","1,714.00","2,019.60","305.6",17.8,4,"148.7","$97,770 ",NA,NA,NA,"Software developers & programmers","Jobs","Information security analysts","Software developers & programmers","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Software developers & programmers/Information security analysts"
"91","Computer programmers",4,"Line item","294.9","273.6","-21.3",-7.2,5.4,"15.5","$82,240 ","Bachelor's degree","None","None","Computer programmers","Jobs","Computer programmers","Software developers & programmers","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Software developers & programmers/Computer programmers"
"92","Software developers, applications",4,"Line item","831.3","1,086.60","255.4",30.7,2.1,"85.7","$101,790 ","Bachelor's degree","None","None","Software developers, applications","Jobs","Software developers, applications","Software developers & programmers","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Software developers & programmers/Software developers, applications"
"93","Software developers, systems software",4,"Line item","425","472.1","47.1",11.1,2.2,"32.9","$107,600 ","Bachelor's degree","None","None","Software developers, systems software","Jobs","Software developers, systems software","Software developers & programmers","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Software developers & programmers/Software developers, systems software"
"94","Web developers",4,"Line item","162.9","187.2","24.4",15,16.2,"14.6","$67,990 ","Associate's degree","None","None","Web developers","Jobs","Web developers","Software developers & programmers","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Software developers & programmers/Web developers"
"95","Database & systems administrators & network architects",3,"Summary","673.4","721.7","48.2",7.2,0.3,"48","$87,090 ",NA,NA,NA,"Database & systems administrators & network architects","Jobs","Web developers","Database & systems administrators & network architects","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Database & systems administrators & network architects/Web developers"
"96","Database administrators",4,"Line item","119.5","133.2","13.7",11.5,0.1,"9.3","$87,020 ","Bachelor's degree","None","None","Database administrators","Jobs","Database administrators","Database & systems administrators & network architects","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Database & systems administrators & network architects/Database administrators"
"97","Network & computer systems administrators",4,"Line item","391.3","415.3","24",6.1,0.2,"27","$81,100 ","Bachelor's degree","None","None","Network & computer systems administrators","Jobs","Network & computer systems administrators","Database & systems administrators & network architects","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Database & systems administrators & network architects/Network & computer systems administrators"
"98","Computer network architects",4,"Line item","162.7","173.2","10.5",6.5,0.9,"11.7","$104,650 ","Bachelor's degree","5 years or more","None","Computer network architects","Jobs","Computer network architects","Database & systems administrators & network architects","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Database & systems administrators & network architects/Computer network architects"
"99","Computer support specialists",3,"Summary","835.3","923.8","88.5",10.6,2,"72","$52,810 ",NA,NA,NA,"Computer support specialists","Jobs","Computer network architects","Computer support specialists","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer support specialists/Computer network architects"
"100","Computer user support specialists",4,"Line item","636.6","708.7","72.1",11.3,1.9,"55.5","$50,210 ","Some college, no degree","None","None","Computer user support specialists","Jobs","Computer user support specialists","Computer support specialists","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer support specialists/Computer user support specialists"
"101","Computer network support specialists",4,"Line item","198.8","215.2","16.4",8.3,2,"16.5","$62,340 ","Associate's degree","None","None","Computer network support specialists","Jobs","Computer network support specialists","Computer support specialists","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer support specialists/Computer network support specialists"
"102","Computer occupations, all other",3,"Line item","287.2","313.8","26.6",9.3,4.6,"22.4","$88,510 ","Bachelor's degree","None","None","Computer occupations, all other","Jobs","Computer network support specialists","Computer occupations, all other","Computer occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Computer occupations/Computer occupations, all other/Computer network support specialists"
"103","Mathematical science occupations",2,"Summary","180.7","231","50.4",27.9,0.8,"17.8","$84,060 ",NA,NA,NA,"Mathematical science occupations","Jobs","Computer network support specialists","Computer occupations, all other","Mathematical science occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Mathematical science occupations/Computer occupations, all other/Computer network support specialists"
"104","Actuaries",3,"Line item","23.6","28.9","5.3",22.5,1.4,"2.1","$101,560 ","Bachelor's degree","None","Long-term on-the-job training","Actuaries","Jobs","Computer network support specialists","Actuaries","Mathematical science occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Mathematical science occupations/Actuaries/Computer network support specialists"
"105","Mathematicians",3,"Line item","3.1","4","0.9",29.7,1.8,"0.3","$103,010 ","Master's degree","None","None","Mathematicians","Jobs","Computer network support specialists","Mathematicians","Mathematical science occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Mathematical science occupations/Mathematicians/Computer network support specialists"
"106","Operations research analysts",3,"Line item","114","145.3","31.3",27.4,NA,"10.7","$81,390 ","Bachelor's degree","None","None","Operations research analysts","Jobs","Computer network support specialists","Operations research analysts","Mathematical science occupations","Computer & mathematical occupations","Jobs/Computer & mathematical occupations/Mathematical science occupations/Operations research analysts/Computer network support specialists"
