title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all",0,Summary,"156,063.80","167,582.30","11,518.60",7.4,6.1,"18,742.00","$37,690 ",NA,NA,NA
Management occupations,1,Summary,"9,533.10","10,340.40",807.3,8.5,19.8,841.5,"$102,590 ",NA,NA,NA
Top executives,2,Summary,"2,627.50","2,824.50",197,7.5,3.2,235,"$103,120 ",NA,NA,NA
Chief executives,3,Line item,308.9,296.8,-12.1,-3.9,22.8,20,"$183,270 ",Bachelor's degree,5 years or more,None
General & operations managers,3,Line item,"2,263.10","2,468.30",205.2,9.1,0.6,210.7,"$100,410 ",Bachelor's degree,5 years or more,None
Legislators,3,Line item,55.5,59.4,3.9,7.1,NA,4.4,"$25,630 ",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, & sales managers",2,Summary,708.6,768.9,60.3,8.5,3.3,67.9,"$123,100 ",NA,NA,NA
Advertising & promotions managers,3,Line item,31.3,33,1.7,5.5,5.2,3.4,"$106,130 ",Bachelor's degree,Less than 5 years,None
Marketing & sales managers,3,Summary,603.8,654.8,51,8.4,3.6,57.6,"$125,290 ",NA,NA,NA
Marketing managers,4,Line item,218.3,240.4,22.1,10.1,3.5,21.3,"$132,230 ",Bachelor's degree,5 years or more,None
Sales managers,4,Line item,385.5,414.4,28.9,7.5,3.6,36.3,"$121,060 ",Bachelor's degree,Less than 5 years,None
Public relations & fundraising managers,3,Line item,73.5,81.1,7.7,10.4,NA,6.9,"$111,280 ",Bachelor's degree,5 years or more,None
Operations specialties managers,2,Summary,"1,776.10","1,985.00",208.9,11.8,1.4,160.4,"$115,700 ",NA,NA,NA
Administrative services managers,3,Line item,281.7,310.2,28.5,10.1,0.2,26.2,"$94,020 ",Bachelor's degree,Less than 5 years,None
Computer & information systems managers,3,Line item,367.6,411.8,44.2,12,0.8,32.5,"$139,220 ",Bachelor's degree,5 years or more,None
Financial managers,3,Line item,580.4,689,108.6,18.7,2.6,56.9,"$125,080 ",Bachelor's degree,5 years or more,None
Industrial production managers,3,Line item,170.6,169.7,-0.9,-0.5,1.4,11.6,"$100,580 ",Bachelor's degree,5 years or more,None
Purchasing managers,3,Line item,73.9,77.9,4,5.5,1.3,6.3,"$115,760 ",Bachelor's degree,5 years or more,None
"Transportation, storage, & distribution managers",3,Line item,115.5,123.3,7.8,6.7,1.1,9.7,"$92,460 ",High school diploma or equivalent,5 years or more,None
Compensation & benefits managers,3,Line item,15.8,16.6,0.8,5,NA,1.2,"$119,120 ",Bachelor's degree,5 years or more,None
Human resources managers,3,Line item,136.1,148.4,12.3,9.1,1.5,12.4,"$110,120 ",Bachelor's degree,5 years or more,None
Training & development managers,3,Line item,34.5,38.1,3.6,10.3,NA,3.5,"$108,250 ",Bachelor's degree,5 years or more,None
Other management occupations,2,Summary,"4,421.00","4,762.00",341,7.7,39.7,378.3,"$88,720 ",NA,NA,NA
"Farmers, ranchers, & other agricultural managers",3,Line item,"1,028.70","1,020.70",-8,-0.8,72.5,74.3,"$69,620 ",High school diploma or equivalent,5 years or more,None
Construction managers,3,Line item,403.8,448.6,44.8,11.1,37.8,33.2,"$91,370 ",Bachelor's degree,None,Moderate-term on-the-job training
Education administrators,3,Summary,531.6,580.4,48.8,9.2,2,45.8,"$88,890 ",NA,NA,NA
"Education administrators, preschool & childcare program",4,Line item,61.8,68.5,6.7,10.8,4.6,5.5,"$46,890 ",Bachelor's degree,Less than 5 years,None
"Education administrators, elementary & secondary school",4,Line item,251.3,271.1,19.8,7.9,0.9,21.2,"$94,390 ",Master's degree,5 years or more,None
"Education administrators, postsecondary",4,Line item,180.1,198.3,18.2,10.1,2.5,15.7,"$92,360 ",Master's degree,Less than 5 years,None
"Education administrators, all other",4,Line item,38.4,42.5,4.1,10.6,3,3.4,"$81,630 ",Bachelor's degree,Less than 5 years,None
Architectural & engineering managers,3,Line item,180.1,190,9.9,5.5,NA,13.6,"$137,720 ",Bachelor's degree,5 years or more,None
Food service managers,3,Line item,308.7,336.4,27.6,9,34,36.8,"$52,030 ",High school diploma or equivalent,Less than 5 years,None
Funeral service managers,3,Line item,25.7,27.5,1.8,6.8,66.6,2,"$78,040 ",Associate's degree,Less than 5 years,None
Gaming managers,3,Line item,4.5,4.6,0.1,2.5,3,0.5,"$72,930 ",High school diploma or equivalent,Less than 5 years,None
Lodging managers,3,Line item,47.8,49.7,1.9,4,24.3,5,"$51,800 ",High school diploma or equivalent,Less than 5 years,None
Medical & health services managers,3,Line item,352.2,424.3,72.1,20.5,2.6,36.7,"$98,350 ",Bachelor's degree,Less than 5 years,None
Natural sciences managers,3,Line item,56.7,62.3,5.6,9.9,NA,5.2,"$118,970 ",Bachelor's degree,5 years or more,None
Postmasters & mail superintendents,3,Line item,14.2,11.2,-3,-20.9,NA,0.6,"$74,840 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, & community association managers",3,Line item,317.3,349.9,32.6,10.3,41.6,28.3,"$58,670 ",High school diploma or equivalent,Less than 5 years,None
Social & community service managers,3,Line item,147.3,173.8,26.5,18,5.8,16.3,"$64,100 ",Bachelor's degree,Less than 5 years,None
Emergency management directors,3,Line item,10.1,10.9,0.8,7.7,NA,0.9,"$72,760 ",Bachelor's degree,5 years or more,None
"Managers, all other",3,Line item,992.1,"1,071.70",79.5,8,56.7,79.2,"$105,610 ",Bachelor's degree,Less than 5 years,None
Business & financial operations occupations,1,Summary,"8,066.80","8,840.70",773.8,9.6,5.5,817.7,"$67,710 ",NA,NA,NA
Business operations specialists,2,Summary,"5,080.80","5,556.30",475.4,9.4,4.3,528,"$66,390 ",NA,NA,NA
"Agents & business managers of artists, performers, & athletes",3,Line item,19.1,20,0.9,4.7,21.2,2.3,"$64,940 ",Bachelor's degree,Less than 5 years,None
Buyers & purchasing agents,3,Summary,446.5,425.2,-21.3,-4.8,3.8,38.6,"$62,120 ",NA,NA,NA
"Buyers & purchasing agents, farm products",4,Line item,13.7,12.9,-0.9,-6.2,4.9,1.4, NA ,Bachelor's degree,None,Moderate-term on-the-job training
"Wholesale & retail buyers, except farm products",4,Line item,123.3,120.3,-3,-2.5,11.5,13.3, NA ,Bachelor's degree,None,Moderate-term on-the-job training
"Purchasing agents, except wholesale, retail, & farm products",4,Line item,309.4,292.1,-17.4,-5.6,0.7,23.8, NA ,Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, & investigators",3,Summary,328.7,325.1,-3.6,-1.1,1.7,26,"$64,690 ",NA,NA,NA
"Claims adjusters, examiners, & investigators",4,Line item,311.1,306.7,-4.5,-1.4,1.6,24.5,"$64,900 ",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",4,Line item,17.6,18.5,0.9,4.9,2,1.5,"$62,100 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,3,Line item,288.3,312,23.7,8.2,0.4,25.9,"$67,870 ",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,3,Line item,217.9,240.8,22.9,10.5,1.1,24.4,"$63,110 ",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,3,Summary,631.8,664.7,32.9,5.2,0.9,64.7,"$60,570 ",NA,NA,NA
Human resources specialists,4,Line item,547.8,586.7,38.9,7.1,0.9,57.6,"$60,350 ",Bachelor's degree,None,None
Farm labor contractors,4,Line item,3,3.2,0.2,8,NA,0.3,"$35,660 ",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,4,Line item,81.1,74.8,-6.3,-7.7,1,6.8,"$63,200 ",Bachelor's degree,Less than 5 years,None
Logisticians,3,Line item,148.7,159,10.3,6.9,NA,15.6,"$74,590 ",Bachelor's degree,None,None
Management analysts,3,Line item,806.4,921.6,115.2,14.3,17.4,83.9,"$82,450 ",Bachelor's degree,Less than 5 years,None
"Meeting, convention, & event planners",3,Line item,116.7,129.4,12.7,10.9,9.5,15.1,"$48,290 ",Bachelor's degree,None,None
Fundraisers,3,Line item,90.4,103.8,13.4,14.8,2.3,10.7,"$55,640 ",Bachelor's degree,None,None
"Compensation, benefits, & job analysis specialists",3,Line item,84.2,91.3,7.2,8.5,0.2,7.7,"$62,680 ",Bachelor's degree,Less than 5 years,None
Training & development specialists,3,Line item,282.8,315.3,32.5,11.5,1.2,31.7,"$60,360 ",Bachelor's degree,Less than 5 years,None
Market research analysts & marketing specialists,3,Line item,595.4,733.7,138.3,23.2,3.6,77.1,"$63,230 ",Bachelor's degree,None,None
"Business operations specialists, all other",3,Line item,"1,023.90","1,114.30",90.3,8.8,0.6,104.2,"$70,010 ",Bachelor's degree,None,None
Financial specialists,2,Summary,"2,986.00","3,284.40",298.4,10,7.5,289.6,"$70,120 ",NA,NA,NA
Accountants & auditors,3,Line item,"1,397.70","1,537.60",139.9,10,6.7,141.8,"$69,350 ",Bachelor's degree,None,None
Appraisers & assessors of real estate,3,Line item,80.8,92.4,11.7,14.4,22.6,6.7,"$54,010 ",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,3,Line item,58.4,62.2,3.8,6.5,NA,4.8,"$75,240 ",Bachelor's degree,None,None
Credit analysts,3,Line item,73.8,79.9,6.2,8.4,NA,6.8,"$71,290 ",Bachelor's degree,None,None
Financial analysts & advisors,3,Summary,672,739.2,67.2,10,10.8,62.1,"$82,770 ",NA,NA,NA
Financial analysts,4,Line item,296.1,328.2,32.2,10.9,2.1,29,"$84,300 ",Bachelor's degree,None,None
Personal financial advisors,4,Line item,271.9,312.3,40.4,14.9,24.3,25.5,"$90,640 ",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,4,Line item,104.1,98.6,-5.4,-5.2,NA,7.5,"$69,760 ",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,3,Line item,52.5,57.6,5.1,9.8,0.9,4.6,"$81,690 ",Bachelor's degree,None,Long-term on-the-job training
Credit counselors & loan officers,3,Summary,357,398.5,41.6,11.6,2.6,34.2,"$61,840 ",NA,NA,NA
Credit counselors,4,Line item,38.3,43.6,5.3,13.8,2.1,3.8,"$44,710 ",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,4,Line item,318.6,354.9,36.3,11.4,2.6,30.4,"$64,660 ",Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors & preparers, & revenue agents",3,Summary,158,167.9,9.9,6.3,14.3,15.7,"$46,840 ",NA,NA,NA
"Tax examiners & collectors, & revenue agents",4,Line item,62.1,61.7,-0.4,-0.6,NA,4.2,"$53,130 ",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,4,Line item,95.9,106.2,10.3,10.8,23.6,11.5,"$38,730 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial specialists, all other",3,Line item,135.9,149,13.1,9.6,5,13.1,"$69,520 ",Bachelor's degree,None,Moderate-term on-the-job training
Computer & mathematical occupations,1,Summary,"4,419.00","5,026.50",607.5,13.7,2.6,366.8,"$84,560 ",NA,NA,NA
Computer occupations,2,Summary,"4,238.40","4,795.50",557.1,13.1,2.7,349,"$84,580 ",NA,NA,NA
Computer & information research scientists,3,Line item,27.9,33.2,5.4,19.2,NA,2.5,"$114,520 ",Master's degree,None,None
Computer & information analysts,3,Summary,700.5,783.4,82.9,11.8,1.9,55.4,"$89,280 ",NA,NA,NA
Computer systems analysts,4,Line item,600.5,654.9,54.4,9.1,2.2,44.9,"$88,270 ",Bachelor's degree,None,None
Information security analysts,4,Line item,100,128.5,28.5,28.5,0.4,10.4,"$95,510 ",Bachelor's degree,Less than 5 years,None
Software developers & programmers,3,Summary,"1,714.00","2,019.60",305.6,17.8,4,148.7,"$97,770 ",NA,NA,NA
Computer programmers,4,Line item,294.9,273.6,-21.3,-7.2,5.4,15.5,"$82,240 ",Bachelor's degree,None,None
"Software developers, applications",4,Line item,831.3,"1,086.60",255.4,30.7,2.1,85.7,"$101,790 ",Bachelor's degree,None,None
"Software developers, systems software",4,Line item,425,472.1,47.1,11.1,2.2,32.9,"$107,600 ",Bachelor's degree,None,None
Web developers,4,Line item,162.9,187.2,24.4,15,16.2,14.6,"$67,990 ",Associate's degree,None,None
Database & systems administrators & network architects,3,Summary,673.4,721.7,48.2,7.2,0.3,48,"$87,090 ",NA,NA,NA
Database administrators,4,Line item,119.5,133.2,13.7,11.5,0.1,9.3,"$87,020 ",Bachelor's degree,None,None
Network & computer systems administrators,4,Line item,391.3,415.3,24,6.1,0.2,27,"$81,100 ",Bachelor's degree,None,None
Computer network architects,4,Line item,162.7,173.2,10.5,6.5,0.9,11.7,"$104,650 ",Bachelor's degree,5 years or more,None
Computer support specialists,3,Summary,835.3,923.8,88.5,10.6,2,72,"$52,810 ",NA,NA,NA
Computer user support specialists,4,Line item,636.6,708.7,72.1,11.3,1.9,55.5,"$50,210 ","Some college, no degree",None,None
Computer network support specialists,4,Line item,198.8,215.2,16.4,8.3,2,16.5,"$62,340 ",Associate's degree,None,None
"Computer occupations, all other",3,Line item,287.2,313.8,26.6,9.3,4.6,22.4,"$88,510 ",Bachelor's degree,None,None
Mathematical science occupations,2,Summary,180.7,231,50.4,27.9,0.8,17.8,"$84,060 ",NA,NA,NA
Actuaries,3,Line item,23.6,28.9,5.3,22.5,1.4,2.1,"$101,560 ",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,3,Line item,3.1,4,0.9,29.7,1.8,0.3,"$103,010 ",Master's degree,None,None
Operations research analysts,3,Line item,114,145.3,31.3,27.4,NA,10.7,"$81,390 ",Bachelor's degree,None,None
Statisticians,3,Line item,37.2,49.8,12.6,33.8,2.6,4.4,"$84,060 ",Master's degree,None,None
Miscellaneous mathematical science occupations,3,Summary,2.8,3.1,0.3,10.3,2.2,0.2,"$57,890 ",NA,NA,NA
Mathematical technicians,4,Line item,0.6,0.6,0,7.8,NA,0, NA ,Bachelor's degree,None,None
"Mathematical science occupations, all other",4,Line item,2.2,2.4,0.2,11,NA,0.2, NA ,Bachelor's degree,None,None
Architecture & engineering occupations,1,Summary,"2,601.00","2,795.40",194.3,7.5,2.7,210.1,"$79,180 ",NA,NA,NA
"Architects, surveyors, & cartographers",2,Summary,210.9,225.3,14.5,6.9,15.3,16.7,"$72,020 ",NA,NA,NA
"Architects, except naval",3,Summary,153.5,160.5,7,4.6,20.1,11.7,"$76,590 ",NA,NA,NA
"Architects, except landscape & naval",4,Line item,128.8,134.2,5.5,4.2,20.2,9.7,"$78,470 ",Bachelor's degree,None,Internship/residency
Landscape architects,4,Line item,24.7,26.3,1.6,6.4,19.6,1.9,"$65,760 ",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, & photogrammetrists",3,Summary,57.4,64.8,7.5,13,2.2,5,"$61,770 ",NA,NA,NA
Cartographers & photogrammetrists,4,Line item,12.6,15,2.4,19.4,1.5,1.2,"$63,990 ",Bachelor's degree,None,None
Surveyors,4,Line item,44.8,49.8,5,11.2,2.4,3.8,"$61,140 ",Bachelor's degree,None,Internship/residency
Engineers,2,Summary,"1,681.00","1,820.30",139.3,8.3,1.5,126.6,"$92,220 ",NA,NA,NA
Aerospace engineers,3,Line item,69.6,73.8,4.2,6.1,NA,4.6,"$113,030 ",Bachelor's degree,None,None
Agricultural engineers,3,Line item,2.7,2.9,0.2,8.2,2.8,0.2,"$74,780 ",Bachelor's degree,None,None
Biomedical engineers,3,Line item,21.3,22.8,1.5,7.2,NA,1.6,"$88,040 ",Bachelor's degree,None,None
Chemical engineers,3,Line item,32.7,35.1,2.5,7.5,1.3,2.4,"$102,160 ",Bachelor's degree,None,None
Civil engineers,3,Line item,303.5,335.7,32.2,10.6,3.4,25.9,"$84,770 ",Bachelor's degree,None,None
Computer hardware engineers,3,Line item,73.6,77.6,4,5.5,NA,5.1,"$115,120 ",Bachelor's degree,None,None
Electrical & electronics engineers,3,Summary,324.6,345.8,21.3,6.5,1.2,23.1,"$97,970 ",NA,NA,NA
Electrical engineers,4,Line item,188.3,204.5,16.2,8.6,1.3,13.9,"$95,060 ",Bachelor's degree,None,None
"Electronics engineers, except computer",4,Line item,136.3,141.3,5.1,3.7,1.1,9.2,"$102,180 ",Bachelor's degree,None,None
Environmental engineers,3,Line item,53.8,58.3,4.5,8.3,0.4,4,"$86,800 ",Bachelor's degree,None,None
"Industrial engineers, including health & safety",3,Summary,283.8,311.2,27.4,9.6,0.5,21.6,"$86,090 ",NA,NA,NA
"Health & safety engineers, except mining safety engineers & inspectors",4,Line item,25.9,28.1,2.2,8.6,0.4,1.9,"$88,510 ",Bachelor's degree,None,None
Industrial engineers,4,Line item,257.9,283,25.1,9.7,0.5,19.7,"$85,880 ",Bachelor's degree,None,None
Marine engineers & naval architects,3,Line item,8.2,9.2,1,11.5,NA,0.6,"$90,970 ",Bachelor's degree,None,None
Materials engineers,3,Line item,27,27.5,0.4,1.6,NA,1.9,"$94,610 ",Bachelor's degree,None,None
Mechanical engineers,3,Line item,288.8,314.1,25.3,8.8,0.5,21.2,"$85,880 ",Bachelor's degree,None,None
"Mining & geological engineers, including mining safety engineers",3,Line item,7.3,7.9,0.6,8.2,5.8,0.6,"$94,240 ",Bachelor's degree,None,None
Nuclear engineers,3,Line item,17.7,18.4,0.7,3.8,NA,1.4,"$105,810 ",Bachelor's degree,None,None
Petroleum engineers,3,Line item,33.7,38.8,5.1,15.2,3.6,2.8,"$132,280 ",Bachelor's degree,None,None
"Engineers, all other",3,Line item,132.5,141,8.5,6.4,4.3,9.5,"$97,250 ",Bachelor's degree,None,None
"Drafters, engineering technicians, & mapping technicians",2,Summary,709.2,749.7,40.5,5.7,1.7,66.8,"$55,810 ",NA,NA,NA
Drafters,3,Summary,207.7,222.3,14.6,7,1.7,19.4,"$54,170 ",NA,NA,NA
Architectural & civil drafters,4,Line item,99.6,107.7,8.1,8.1,1.7,9.5,"$52,870 ",Associate's degree,None,None
Electrical & electronics drafters,4,Line item,27.4,29.3,1.9,6.8,1.7,2.6,"$59,690 ",Associate's degree,None,None
Mechanical drafters,4,Line item,64.8,68.2,3.4,5.2,1.8,5.9,"$55,130 ",Associate's degree,None,None
"Drafters, all other",4,Line item,15.9,17.2,1.3,8,1.7,1.5,"$50,290 ",Associate's degree,None,None
"Engineering technicians, except drafters",3,Summary,441.3,460.8,19.5,4.4,0.7,40.1,"$58,170 ",NA,NA,NA
Aerospace engineering & operations technicians,4,Line item,12.1,12.9,0.8,6.6,0.8,1.1,"$67,240 ",Associate's degree,None,None
Civil engineering technicians,4,Line item,74.5,81.1,6.6,8.8,0.4,7.2,"$51,620 ",Associate's degree,None,None
Electrical & electronics engineering technicians,4,Line item,137,139.8,2.7,2,0.7,12,"$63,660 ",Associate's degree,None,None
Electro-mechanical technicians,4,Line item,13.8,14.3,0.5,3.5,0.8,1.2,"$56,740 ",Associate's degree,None,None
Environmental engineering technicians,4,Line item,17,19.1,2.2,12.9,0.7,1.7,"$50,230 ",Associate's degree,None,None
Industrial engineering technicians,4,Line item,63.9,64.3,0.4,0.6,0.8,5.5,"$54,280 ",Associate's degree,None,None
Mechanical engineering technicians,4,Line item,46.1,48.4,2.3,5,0.8,4.2,"$55,360 ",Associate's degree,None,None
"Engineering technicians, except drafters, all other",4,Line item,76.8,80.8,4,5.2,0.6,7.1,"$62,230 ",Associate's degree,None,None
Surveying & mapping technicians,3,Line item,60.2,66.6,6.4,10.6,9.1,7.2,"$43,340 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Life, physical, & social science occupations",1,Summary,"1,299.50","1,424.30",124.8,9.6,4.9,132.8,"$64,510 ",NA,NA,NA
Life scientists,2,Summary,325.4,358,32.6,10,2.6,32.4,"$73,700 ",NA,NA,NA
Agricultural & food scientists,3,Summary,43,46.1,3.1,7.2,6.9,4.7,"$62,910 ",NA,NA,NA
Animal scientists,4,Line item,6.1,6.4,0.4,5.9,3.2,0.7,"$60,760 ",Bachelor's degree,None,None
Food scientists & technologists,4,Line item,17,18,1,5.7,9.6,1.8,"$63,660 ",Bachelor's degree,None,None
Soil & plant scientists,4,Line item,19.9,21.7,1.8,8.8,5.8,2.2,"$62,430 ",Bachelor's degree,None,None
Biological scientists,3,Summary,112.8,122.9,10.1,8.9,2,11,"$74,960 ",NA,NA,NA
Biochemists & biophysicists,4,Line item,31.5,35.1,3.6,11.5,3.1,3.2,"$91,190 ",Doctoral or professional degree,None,None
Microbiologists,4,Line item,23.2,25.1,1.9,8.2,2.5,2.2,"$69,960 ",Bachelor's degree,None,None
Zoologists & wildlife biologists,4,Line item,19.4,20.9,1.5,7.6,0.9,1.9,"$62,290 ",Bachelor's degree,None,None
"Biological scientists, all other",4,Line item,38.7,41.8,3.1,8,1.3,3.7,"$76,690 ",Bachelor's degree,None,None
Conservation scientists & foresters,3,Summary,34.6,36.6,2,5.8,2,3.1,"$60,970 ",NA,NA,NA
Conservation scientists,4,Line item,22.3,23.7,1.4,6.3,1.9,2,"$61,480 ",Bachelor's degree,None,None
Foresters,4,Line item,12.3,12.9,0.6,5,2.2,1.1,"$60,120 ",Bachelor's degree,None,None
Medical scientists,3,Summary,126.1,142.7,16.6,13.2,2,12.7,"$80,970 ",NA,NA,NA
Epidemiologists,4,Line item,6.1,6.6,0.5,8.8,1,0.6,"$69,660 ",Master's degree,None,None
"Medical scientists, except epidemiologists",4,Line item,120,136.1,16.1,13.4,2.1,12.1,"$82,090 ",Doctoral or professional degree,None,None
"Life scientists, all other",3,Line item,8.9,9.7,0.8,9.2,1.5,0.8,"$74,540 ",Bachelor's degree,None,None
Physical scientists,2,Summary,278.2,305.3,27.1,9.7,1.7,28,"$78,790 ",NA,NA,NA
Astronomers & physicists,3,Summary,19.9,22.7,2.8,14,NA,1.9,"$117,220 ",NA,NA,NA
Astronomers,4,Line item,2,2.2,0.2,10,NA,0.2,"$100,590 ",Doctoral or professional degree,None,None
Physicists,4,Line item,17.9,20.5,2.6,14.5,NA,1.7,"$118,830 ",Doctoral or professional degree,None,None
Atmospheric & space scientists,3,Line item,10.4,11.7,1.3,12,NA,0.9,"$92,070 ",Bachelor's degree,None,None
Chemists & materials scientists,3,Summary,96.2,102.5,6.3,6.5,NA,9.4,"$76,280 ",NA,NA,NA
Chemists,4,Line item,88.3,94,5.7,6.5,NA,8.6,"$74,740 ",Bachelor's degree,None,None
Materials scientists,4,Line item,7.9,8.5,0.6,7.1,NA,0.8,"$99,530 ",Bachelor's degree,None,None
Environmental scientists & geoscientists,3,Summary,128.2,143.3,15.1,11.8,2,13.8,"$73,860 ",NA,NA,NA
"Environmental scientists & specialists, including health",4,Line item,89.5,99.4,9.9,11.1,1.8,9.5,"$69,400 ",Bachelor's degree,None,None
"Geoscientists, except hydrologists & geographers",4,Line item,32,36.5,4.5,14,2.7,3.5,"$89,850 ",Bachelor's degree,None,None
Hydrologists,4,Line item,6.7,7.4,0.7,9.9,1.4,0.7,"$79,990 ",Bachelor's degree,None,None
"Physical scientists, all other",3,Line item,23.5,25.1,1.7,7.2,9.3,2,"$103,990 ",Bachelor's degree,None,None
Social scientists & related workers,2,Summary,303.8,336.7,32.9,10.8,15.4,26.5,"$76,970 ",NA,NA,NA
Economists,3,Line item,21.3,22.6,1.3,6.3,3.6,1.6,"$102,490 ",Master's degree,None,None
Survey researchers,3,Line item,14.6,14.9,0.4,2.5,14.2,1.4,"$54,270 ",Master's degree,None,None
Psychologists,3,Summary,166.6,189.6,23,13.8,23.9,13.6,"$77,030 ",NA,NA,NA
"Clinical, counseling, & school psychologists",4,Line item,147.5,168.5,21,14.3,24.4,12.1,"$75,090 ",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,4,Line item,1.7,1.8,0.1,8.4,37.2,0.1,"$87,100 ",Master's degree,None,Internship/residency
"Psychologists, all other",4,Line item,17.4,19.2,1.8,10.5,18.3,1.3,"$97,740 ",Master's degree,None,Internship/residency
Sociologists,3,Line item,3.5,3.5,0,1.3,10.9,0.3,"$79,650 ",Master's degree,None,None
Urban & regional planners,3,Line item,36,40.6,4.6,12.8,NA,3.5,"$71,490 ",Master's degree,None,None
Miscellaneous social scientists & related workers,3,Summary,61.9,65.4,3.6,5.8,6.3,6.1,"$78,680 ",NA,NA,NA
Anthropologists & archeologists,4,Line item,7.6,7.9,0.3,4.5,11,0.7,"$62,280 ",Master's degree,None,None
Geographers,4,Line item,1.5,1.7,0.1,6.7,4.9,0.2,"$76,860 ",Bachelor's degree,None,None
Historians,4,Line item,3.3,3.5,0.2,6,5.4,0.3,"$59,120 ",Master's degree,None,None
Political scientists,4,Line item,7.3,7.5,0.2,2.8,6.7,0.7,"$115,110 ",Master's degree,None,None
"Social scientists & related workers, all other",4,Line item,42.1,44.9,2.7,6.5,5.5,4.2,"$79,370 ",Bachelor's degree,None,None
"Life, physical, & social science technicians",2,Summary,392.1,424.3,32.2,8.2,1,45.9,"$45,780 ",NA,NA,NA
Agricultural & food science technicians,3,Line item,27.5,29.2,1.7,6.3,NA,3,"$39,910 ",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,3,Line item,82.1,90.4,8.4,10.2,NA,8.9,"$43,800 ",Bachelor's degree,None,None
Chemical technicians,3,Line item,67.3,70,2.7,4,1.5,6.6,"$47,280 ",Associate's degree,None,Moderate-term on-the-job training
Geological & petroleum technicians,3,Line item,15,17.4,2.5,16.4,NA,1.9,"$54,190 ",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,3,Line item,6.9,6.9,0.1,0.8,2.8,0.8,"$80,370 ",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,3,Line item,34,35.5,1.5,4.3,1.7,4.1,"$46,000 ",Bachelor's degree,None,None
"Miscellaneous life, physical, & social science technicians",3,Summary,159.3,174.8,15.4,9.7,1.2,20.7,"$45,690 ",NA,NA,NA
"Environmental science & protection technicians, including health",4,Line item,34.6,38.8,4.2,12.1,1.9,4.6,"$45,490 ",Associate's degree,None,None
Forensic science technicians,4,Line item,15.4,18,2.6,16.8,NA,2.2,"$57,850 ",Bachelor's degree,None,Moderate-term on-the-job training
Forest & conservation technicians,4,Line item,33.2,34.5,1.3,3.8,NA,4,"$36,130 ",Associate's degree,None,None
"Life, physical, & social science technicians, all other",4,Line item,76.1,83.5,7.4,9.7,1.6,9.9,"$48,090 ",Associate's degree,None,None
Community & social service occupations,1,Summary,"2,570.70","2,942.60",371.9,14.5,2.6,330.7,"$43,840 ",NA,NA,NA
"Counselors, social workers, & other community & social service specialists",2,Summary,"2,126.40","2,463.90",337.5,15.9,2.9,274.4,"$43,860 ",NA,NA,NA
Counselors,3,Summary,744.5,870.7,126.3,17,5.7,95.1,"$46,740 ",NA,NA,NA
Substance abuse & behavioral disorder counselors,4,Line item,102.4,126.2,23.8,23.2,7.8,14.1, NA ,Bachelor's degree,None,None
"Educational, guidance, school, & vocational counselors",4,Line item,291.7,328.4,36.7,12.6,3,35.3,"$55,410 ",Master's degree,None,None
Marriage & family therapists,4,Line item,41.5,51.2,9.7,23.4,7.5,5.7,"$48,790 ",Master's degree,None,Internship/residency
Mental health counselors,4,Line item,157.7,194.2,36.5,23.1,8,21.6, NA ,Master's degree,None,Internship/residency
Rehabilitation counselors,4,Line item,119.3,134.4,15.1,12.7,6.9,14.5,"$34,860 ",Master's degree,None,None
"Counselors, all other",4,Line item,31.8,36.3,4.5,14.3,5.5,3.9,"$43,370 ",Master's degree,None,None
Social workers,3,Summary,682.1,791.8,109.7,16.1,2.4,84.3,"$47,980 ",NA,NA,NA
"Child, family, & school social workers",4,Line item,317.6,362.6,45,14.2,2,38.3,"$44,380 ",Bachelor's degree,None,None
