title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Pesticide handlers, sprayers, & applicators, vegetation",3,Line item,38,41,3,7.8,18.9,5,"$34,830 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Tree trimmers & pruners,3,Line item,54.5,60.9,6.4,11.7,22.9,7.5,"$36,460 ",High school diploma or equivalent,None,Short-term on-the-job training
"Grounds maintenance workers, all other",3,Line item,18.9,20.6,1.7,9.2,16,2.5,"$30,060 ",No formal educational credential,None,Short-term on-the-job training
Personal care & service occupations,1,Summary,"6,419.70","7,647.40","1,227.60",19.1,16.2,"1,140.90","$23,610 ",NA,NA,NA
Supervisors of personal care & service workers,2,Summary,326.7,369.1,42.4,13,28.4,39.7,"$38,500 ",NA,NA,NA
First-line supervisors of gaming workers,3,Summary,50.6,52.6,2.1,4.1,40.2,8.2,"$48,850 ",NA,NA,NA
Gaming supervisors,4,Line item,38.5,40,1.5,3.9,41.7,6.2, NA ,High school diploma or equivalent,Less than 5 years,None
Slot supervisors,4,Line item,12.1,12.6,0.6,4.6,35.5,2, NA ,High school diploma or equivalent,Less than 5 years,None
First-line supervisors of personal service workers,3,Line item,276.1,316.5,40.3,14.6,26.2,31.6,"$37,450 ",High school diploma or equivalent,Less than 5 years,None
Animal care & service workers,2,Summary,296.4,361,64.6,21.8,23.6,53.2,"$23,160 ",NA,NA,NA
Animal trainers,3,Line item,54.9,61,6.1,11.2,46.8,7,"$28,880 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Nonfarm animal caretakers,3,Line item,241.5,300,58.5,24.2,18.3,46.2,"$22,950 ",High school diploma or equivalent,None,Short-term on-the-job training
Entertainment attendants & related workers,2,Summary,584.3,625.9,41.7,7.1,0.8,132.3,"$20,990 ",NA,NA,NA
Gaming services workers,3,Summary,121,122.7,1.7,1.4,1.3,18.1,"$20,230 ",NA,NA,NA
Gaming dealers,4,Line item,96.9,98,1.1,1.2,1.2,14.5,"$19,820 ",High school diploma or equivalent,None,Short-term on-the-job training
Gaming & sports book writers & runners,4,Line item,11.7,12.1,0.4,3.8,1.3,1.8,"$24,030 ",High school diploma or equivalent,None,Short-term on-the-job training
"Gaming service workers, all other",4,Line item,12.5,12.6,0.1,0.7,1.4,1.9,"$27,040 ",High school diploma or equivalent,None,Short-term on-the-job training
Motion picture projectionists,3,Line item,5.8,5.2,-0.6,-9.7,4.3,0.6,"$22,050 ",No formal educational credential,None,Short-term on-the-job training
"Ushers, lobby attendants, & ticket takers",3,Line item,117.7,126.4,8.8,7.5,NA,30.5,"$20,820 ",No formal educational credential,None,Short-term on-the-job training
Miscellaneous entertainment attendants & related workers,3,Summary,339.8,371.6,31.8,9.4,0.9,83,"$21,370 ",NA,NA,NA
Amusement & recreation attendants,4,Line item,300,327.9,27.8,9.3,0.9,73.2,"$21,060 ",No formal educational credential,None,Short-term on-the-job training
Costume attendants,4,Line item,6.6,7.3,0.6,9.7,1.1,1.6,"$42,620 ",High school diploma or equivalent,None,Short-term on-the-job training
"Locker room, coatroom, & dressing room attendants",4,Line item,18.6,20.3,1.6,8.7,1,4.5,"$22,830 ",High school diploma or equivalent,None,Short-term on-the-job training
"Entertainment attendants & related workers, all other",4,Line item,14.6,16.2,1.7,11.4,1,3.6,"$24,200 ",High school diploma or equivalent,None,Short-term on-the-job training
Funeral service workers,2,Summary,68.5,70.6,2.1,3,3.7,9.8,"$32,300 ",NA,NA,NA
Embalmers,3,Line item,3.7,3.7,0,-0.8,NA,0.6,"$42,780 ",Associate's degree,None,Long-term on-the-job training
Funeral attendants,3,Line item,36.1,37,1,2.7,NA,5.6,"$25,050 ",High school diploma or equivalent,None,Short-term on-the-job training
"Morticians, undertakers, & funeral directors",3,Line item,28.7,29.8,1.1,3.9,8.8,3.7,"$51,850 ",Associate's degree,None,Long-term on-the-job training
Personal appearance workers,2,Summary,887.3,"1,003.60",116.3,13.1,41.1,119,"$24,410 ",NA,NA,NA
"Barbers, hairdressers, hairstylists & cosmetologists",3,Summary,673.7,761.4,87.6,13,45.3,90.9,"$24,900 ",NA,NA,NA
Barbers,4,Line item,56.4,64,7.6,13.4,71.7,6.2,"$25,650 ",Postsecondary nondegree award,None,None
"Hairdressers, hairstylists, & cosmetologists",4,Line item,617.3,697.4,80.1,13,42.9,84.7,"$24,850 ",Postsecondary nondegree award,None,None
Miscellaneous personal appearance workers,3,Summary,213.6,242.2,28.6,13.4,28,28.2,"$23,790 ",NA,NA,NA
"Makeup artists, theatrical & performance",4,Line item,4.8,5.4,0.6,12.5,29.1,0.6,"$59,300 ",Postsecondary nondegree award,None,None
Manicurists & pedicurists,4,Line item,126.3,143,16.7,13.2,28,16.6,"$23,230 ",Postsecondary nondegree award,None,None
Shampooers,4,Line item,21.2,24.1,2.8,13.4,28,2.8,"$20,320 ",No formal educational credential,None,Short-term on-the-job training
Skincare specialists,4,Line item,61.3,69.7,8.5,13.8,28,8.1,"$30,080 ",Postsecondary nondegree award,None,None
"Baggage porters, bellhops, & concierges",2,Summary,77.6,85,7.4,9.5,NA,11.8,"$25,700 ",NA,NA,NA
Baggage porters & bellhops,3,Line item,45.1,48.8,3.7,8.2,NA,6.7,"$23,230 ",High school diploma or equivalent,None,Short-term on-the-job training
