title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
Choreographers,4,Line item,6.9,7.1,0.2,2.8,26.4,0.9,"$48,420 ",High school diploma or equivalent,5 years or more,Long-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers",Dancers & choreographers,Choreographers,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers/Choreographers",#999999,9,#FFDB00
Dancers,4,Line item,13.5,14.1,0.6,4.6,26.8,1.9,NA,No formal educational credential,None,Long-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers",Dancers & choreographers,Dancers,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers/Dancers",#999999,10,#FFB600
"Entertainers & performers, sports & related workers, etc",3,Line item,26.7,28.9,2.2,8.1,50.2,3.2,NA,No formal educational credential,None,Short-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Entertainers & performers, sports & related workers, etc",NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Entertainers & performers, sports & related workers, etc",#999999,11,#FF9200
"Musicians, singers, etc",3,Summary,247.3,261.9,14.7,5.9,32.4,25.5,NA,NA,NA,NA,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Musicians, singers, etc",NA,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc",#999999,10,#FFB600
Music directors & composers,4,Line item,74.8,79.1,4.3,5.7,25.8,7.7,"$50,590 ",Bachelor's degree,Less than 5 years,None,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Musicians, singers, etc",Music directors & composers,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc/Music directors & composers",#999999,10,#FFB600
Musicians & singers,4,Line item,172.4,182.8,10.4,6,35.3,17.8,NA,No formal educational credential,None,Long-term on-the-job training,Jobs,"Arts, design, etc","Entertainers & performers, sports & related workers","Musicians, singers, etc",Musicians & singers,"Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc/Musicians & singers",#999999,10,#FFB600
Media & communication equipment workers,2,Summary,362.5,374.1,11.6,3.2,34.4,32.7,"$45,570 ",NA,NA,NA,Jobs,"Arts, design, etc",Media & communication equipment workers,NA,NA,"Jobs/Arts, design, etc/Media & communication equipment workers",#999999,10,#FFB600
Broadcast & sound engineering technicians & radio operators,3,Summary,135.3,146,10.7,7.9,9.7,13.7,"$42,660 ",NA,NA,NA,Jobs,"Arts, design, etc",Media & communication equipment workers,Broadcast & sound engineering technicians & radio operators,NA,"Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators",#999999,11,#FF9200
Audio & video equipment technicians,4,Line item,83.3,94,10.7,12.9,9.4,9,"$42,190 ",Postsecondary nondegree award,None,Short-term on-the-job training,Jobs,"Arts, design, etc",Media & communication equipment workers,Broadcast & sound engineering technicians & radio operators,Audio & video equipment technicians,"Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Audio & video equipment technicians",#999999,12,#FF6D00
Broadcast technicians,4,Line item,34,32.9,-1.1,-3.2,10.2,2.9,"$39,060 ",Associate's degree,None,Short-term on-the-job training,Jobs,"Arts, design, etc",Media & communication equipment workers,Broadcast & sound engineering technicians & radio operators,Broadcast technicians,"Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Broadcast technicians",#999999,5,#0092FF
Radio operators,4,Line item,0.9,0.9,0,-1,NA,0.1,"$44,330 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Arts, design, etc",Media & communication equipment workers,Broadcast & sound engineering technicians & radio operators,Radio operators,"Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Radio operators",#999999,7,#00DBFF
